Epsilon	Acceptance Rate
1.8750000000000002e-05 	 0.73
2.0625000000000003e-05 	 0.01
1.8562500000000004e-05 	 0.97
2.0418750000000005e-05 	 0.0
1.8376875000000005e-05 	 0.9
2.021456250000001e-05 	 0.01
1.819310625000001e-05 	 0.93
2.0012416875000012e-05 	 0.02
1.8011175187500012e-05 	 0.82
1.9812292706250015e-05 	 0.03
1.7831063435625014e-05 	 0.95
1.9614169779187517e-05 	 0.04
1.7652752801268767e-05 	 0.98
1.9418028081395644e-05 	 0.08
1.747622527325608e-05 	 0.93
1.922384780058169e-05 	 0.15
1.7301463020523523e-05 	 0.89
1.9031609322575876e-05 	 0.69
