Epsilon	Acceptance Rate	 Iterations
4.978439260196648e-12 	 0.07 	 100.0
4.973460820936451e-12 	 0.1 	 100.0
4.476114738842806e-12 	 0.99 	 100.0
4.480590853581648e-12 	 0.99 	 100.0
4.485071444435229e-12 	 0.99 	 100.0
4.489556515879664e-12 	 0.99 	 100.0
4.494046072395543e-12 	 0.99 	 100.0
4.498540118467938e-12 	 0.99 	 100.0
4.503038658586405e-12 	 0.99 	 100.0
4.50754169724499e-12 	 0.99 	 100.0
4.5120492389422345e-12 	 0.99 	 100.0
4.516561288181176e-12 	 0.99 	 100.0
4.521077849469357e-12 	 0.98 	 100.0
4.525598927318826e-12 	 0.99 	 100.0
4.530124526246144e-12 	 0.99 	 100.0
4.534654650772389e-12 	 0.99 	 100.0
4.539189305423161e-12 	 0.98 	 100.0
4.543728494728584e-12 	 0.99 	 100.0
4.548272223223312e-12 	 0.99 	 100.0
4.552820495446535e-12 	 0.98 	 100.0
4.557373315941981e-12 	 0.99 	 100.0
4.561930689257923e-12 	 0.98 	 100.0
4.566492619947181e-12 	 0.98 	 100.0
4.571059112567127e-12 	 0.99 	 100.0
4.575630171679694e-12 	 0.97 	 100.0
4.5802058018513735e-12 	 0.99 	 100.0
4.584786007653224e-12 	 0.95 	 100.0
4.589370793660877e-12 	 0.97 	 100.0
4.593960164454537e-12 	 0.98 	 100.0
4.598554124618992e-12 	 0.99 	 100.0
4.60315267874361e-12 	 0.99 	 100.0
4.607755831422353e-12 	 0.99 	 100.0
4.612363587253775e-12 	 0.98 	 100.0
4.616975950841029e-12 	 0.98 	 100.0
4.621592926791869e-12 	 0.98 	 100.0
4.62621451971866e-12 	 0.98 	 100.0
4.630840734238378e-12 	 0.99 	 100.0
4.635471574972616e-12 	 0.97 	 100.0
4.640107046547588e-12 	 0.95 	 100.0
4.644747153594135e-12 	 0.99 	 100.0
4.6493919007477286e-12 	 0.99 	 100.0
4.654041292648476e-12 	 0.98 	 100.0
4.658695333941123e-12 	 0.99 	 100.0
4.663354029275064e-12 	 0.95 	 100.0
4.668017383304339e-12 	 0.96 	 100.0
4.6726854006876425e-12 	 0.93 	 100.0
4.67735808608833e-12 	 0.99 	 100.0
4.682035444174417e-12 	 0.96 	 100.0
4.686717479618591e-12 	 0.95 	 100.0
4.691404197098209e-12 	 0.96 	 100.0
4.696095601295307e-12 	 0.96 	 100.0
4.700791696896602e-12 	 0.93 	 100.0
4.705492488593498e-12 	 0.96 	 100.0
4.710197981082091e-12 	 0.96 	 100.0
4.714908179063173e-12 	 0.94 	 100.0
4.719623087242236e-12 	 0.88 	 100.0
4.719623087242236e-12 	 0.997 	 1000.0
5.19158539596646e-12 	 0.002 	 1000.0
4.6724268563698145e-12 	 0.998 	 1000.0
5.1396695420067964e-12 	 0.003 	 1000.0
4.625702587806117e-12 	 0.999 	 1000.0
5.08827284658673e-12 	 0.005 	 1000.0
4.579445561928057e-12 	 0.999 	 1000.0
5.0373901181208626e-12 	 0.006 	 1000.0
4.533651106308776e-12 	 0.998 	 1000.0
4.987016216939654e-12 	 0.02 	 1000.0
4.488314595245689e-12 	 0.999 	 1000.0
4.9371460547702585e-12 	 0.914 	 1000.0
4.942083200825028e-12 	 0.915 	 1000.0
4.947025284025852e-12 	 0.858 	 1000.0
